make,price,Cluster
Chrysler,8700,5
Cadillac,6000,5
Volkswagen,39900,7
Dodge,29900,2
Toyota,6700,5
Mercury,19000,6
Mercury,17900,6
Toyota,3500,5
BMW,8888,5
Cadillac,17999,6
Cadillac,32999,2
BMW,13900,6
Chevrolet,28000,8
Chevrolet,12997,6
Jaguar,7500,5
Toyota,5900,5
BMW,28949,2
BMW,28949,2
Chevrolet,21900,6
Toyota,8500,5
Honda,5999,5
Honda,5999,5
Nissan,10900,6
Subaru,9999,5
Subaru,9999,5
Ford,3609,6
Lexus,9900,5
Porsche,24995,8
Cadillac,14995,6
Chrysler,4900,5
Chrysler,4900,5
Ford,9988,6
Mercedes-Benz,7995,5
Pontiac,34800,7
Porsche,14998,6
Porsche,19893,6
BMW,28950,2
BMW,14888,6
Dodge,16900,6
Ford,7500,6
Acura,3850,5
Audi,9999,5
Audi,9999,5
Chevrolet,23000,6
Chevrolet,14180,6
Chevrolet,14180,6
Chevrolet,14180,6
Chevrolet,14180,6
Dodge,3609,5
Dodge,3609,5
Ford,22998,6
GMC,6995,5
Jaguar,3700,5
Jeep,2000,5
Kia,3800,5
Mercedes-Benz,0,5
Mercedes-Benz,15500,6
Mercedes-Benz,15500,6
Mercedes-Benz,15500,6
Mercedes-Benz,15500,6
Pontiac,7888,5
Pontiac,7888,5
Pontiac,37587,7
Saturn,4950,5
Saturn,4950,5
Chevrolet,24999,8
Chevrolet,7999,5
Chevrolet,2999,5
Chrysler,5900,5
Dodge,17999,6
Ford,13888,6
Ford,13888,6
Honda,4900,5
Honda,6700,5
Hummer,29900,2
Hummer,34900,7
Hummer,34900,7
Jaguar,5000,5
Jeep,6700,5
Mazda,9900,5
Mazda,8900,5
Mercedes-Benz,22888,6
Nissan,19709,2
Pontiac,5600,5
Pontiac,5600,5
Pontiac,5600,5
Pontiac,5995,5
Pontiac,5548,5
Subaru,5900,5
Suzuki,8995,5
Suzuki,8995,5
Toyota,7998,5
Toyota,7998,5
Toyota,8900,5
Toyota,10950,6
Toyota,4450,5
Acura,8900,5
Audi,8888,5
Chevrolet,4495,5
Chevrolet,21999,6
Chevrolet,3199,5
Chevrolet,5780,5
Chevrolet,5780,5
Chevrolet,5780,5
Chevrolet,5780,5
Chevrolet,6999,5
Chevrolet,18700,6
Chevrolet,9500,5
Dodge,89980,4
Dodge,89980,4
Dodge,89980,4
Dodge,89980,4
Dodge,27900,8
Ford,5900,6
Ford,9995,6
Ford,7995,6
Hyundai,6995,5
Infiniti,11200,6
Jaguar,6495,5
Jeep,6500,5
Jeep,6500,5
Jeep,5900,5
Jeep,21888,6
Lincoln,8500,5
Mazda,4000,5
Mazda,4000,5
Nissan,15988,2
Nissan,15988,2
Nissan,15988,2
Nissan,15988,2
Nissan,15988,2
Nissan,7900,5
Porsche,74388,3
Porsche,26995,8
Toyota,12160,6
Toyota,4590,5
Acura,13209,6
Acura,13209,6
Audi,3800,5
BMW,11999,6
Cadillac,5700,5
Cadillac,22500,6
Cadillac,24999,8
Chevrolet,9995,5
Chevrolet,32800,2
Chevrolet,35680,7
Chevrolet,32800,2
Chevrolet,35680,7
Chevrolet,32800,2
Chevrolet,35680,7
Chevrolet,32800,2
Chevrolet,35680,7
Chevrolet,9599,5
Chevrolet,3999,5
Chevrolet,4999,5
Chevrolet,3809,5
Chevrolet,1000,5
Chrysler,9900,5
Chrysler,12995,6
Chrysler,15998,6
Chrysler,7999,5
Chrysler,5999,5
Chrysler,5999,5
Dodge,7501,5
Ford,7499,6
Ford,7700,6
Ford,17974,6
Ford,14900,6
Ford,13999,6
Ford,24990,6
Ford,15795,6
Ford,18900,6
Ford,12587,6
Ford,15795,6
Ford,15995,6
Ford,21795,6
Ford,21995,6
Ford,26898,6
GMC,6609,5
Honda,3999,5
Hummer,24997,8
Infiniti,13888,6
Infiniti,9800,5
Infiniti,9800,5
Infiniti,9800,5
Jeep,6500,5
Jeep,6500,5
Jeep,10980,6
Jeep,10980,6
Jeep,10980,6
Mazda,3999,5
Mercedes-Benz,16288,6
Mercedes-Benz,11700,6
Mitsubishi,16888,6
Mitsubishi,16888,6
Nissan,12999,2
Nissan,12999,2
Nissan,7700,5
Nissan,7999,5
Nissan,7999,5
Nissan,7999,5
Nissan,13000,2
Nissan,7999,5
Nissan,7999,5
Nissan,13242,2
Pontiac,8900,5
Pontiac,4995,5
Subaru,6999,5
Suzuki,6482,5
Suzuki,6406,5
Toyota,7450,5
Toyota,10999,6
Toyota,6600,5
Volkswagen,10993,6
Acura,4249,5
Audi,3850,5
BMW,9800,5
BMW,12999,6
BMW,12999,6
